#"RawData - D:\NORLIYANA MUJAINI-UV\Dr Yap Win Feng\Illya\14092023\SAMPLE E1_ABS_103516.spc"
#"Wavelength nm." "Abs."
220.00 3.2069
222.00 3.2060
224.00 3.1497
226.00 3.0980
228.00 3.1037
230.00 3.1658
232.00 3.1820
234.00 3.1997
236.00 3.2131
238.00 3.1653
240.00 3.1615
242.00 3.1833
244.00 3.2436
246.00 3.2638
248.00 3.2570
250.00 3.2573
252.00 3.2999
254.00 3.3471
256.00 3.3696
258.00 3.4069
260.00 3.4424
262.00 3.5211
264.00 3.5201
266.00 3.4992
268.00 3.4905
270.00 3.5082
272.00 3.5490
274.00 3.5545
276.00 3.6003
278.00 3.6298
280.00 3.6809
282.00 3.6231
284.00 3.6068
286.00 3.5751
288.00 3.5601
290.00 3.5138
292.00 3.4849
294.00 3.4963
296.00 3.4962
298.00 3.4425
300.00 3.3787
302.00 3.3506
304.00 3.3484
306.00 3.3245
308.00 3.2635
310.00 3.1779
312.00 3.1375
314.00 3.1061
316.00 3.0812
318.00 3.0380
320.00 3.0005
322.00 2.9571
324.00 2.9177
326.00 2.8687
328.00 2.8298
330.00 2.7754
332.00 2.6974
334.00 2.6176
336.00 2.5368
338.00 2.4633
340.00 2.3831
342.00 2.2956
344.00 2.2040
346.00 2.1132
348.00 2.0242
350.00 1.9367
352.00 1.8527
354.00 1.7717
356.00 1.6915
358.00 1.6123
360.00 1.5284
362.00 1.4507
364.00 1.3728
366.00 1.3016
368.00 1.2334
370.00 1.1702
372.00 1.1060
374.00 1.0417
376.00 0.9818
378.00 0.9268
380.00 0.8765
382.00 0.8280
384.00 0.7833
386.00 0.7404
388.00 0.7006
390.00 0.6642
392.00 0.6302
394.00 0.5997
396.00 0.5705
398.00 0.5444
400.00 0.5197
402.00 0.4974
404.00 0.4761
406.00 0.4565
408.00 0.4395
410.00 0.4234
412.00 0.4075
414.00 0.3923
416.00 0.3799
418.00 0.3677
420.00 0.3550
422.00 0.3420
424.00 0.3303
426.00 0.3207
428.00 0.3109
430.00 0.3018
432.00 0.2918
434.00 0.2835
436.00 0.2752
438.00 0.2677
440.00 0.2603
442.00 0.2534
444.00 0.2464
446.00 0.2394
448.00 0.2324
450.00 0.2263
452.00 0.2201
454.00 0.2142
456.00 0.2085
458.00 0.2028
460.00 0.1977
462.00 0.1918
464.00 0.1868
466.00 0.1818
468.00 0.1773
470.00 0.1729
472.00 0.1686
474.00 0.1645
476.00 0.1602
478.00 0.1562
480.00 0.1519
482.00 0.1477
484.00 0.1438
486.00 0.1402
488.00 0.1370
490.00 0.1336
492.00 0.1301
494.00 0.1263
496.00 0.1227
498.00 0.1198
500.00 0.1170
502.00 0.1149
504.00 0.1123
506.00 0.1096
508.00 0.1069
510.00 0.1042
512.00 0.1016
514.00 0.0995
516.00 0.0973
518.00 0.0953
520.00 0.0927
522.00 0.0906
524.00 0.0884
526.00 0.0867
528.00 0.0846
530.00 0.0828
532.00 0.0808
534.00 0.0789
536.00 0.0777
538.00 0.0764
540.00 0.0752
542.00 0.0738
544.00 0.0725
546.00 0.0714
548.00 0.0699
550.00 0.0683
552.00 0.0670
554.00 0.0655
556.00 0.0643
558.00 0.0631
560.00 0.0623
562.00 0.0613
564.00 0.0602
566.00 0.0593
568.00 0.0587
570.00 0.0580
572.00 0.0569
574.00 0.0560
576.00 0.0550
578.00 0.0546
580.00 0.0537
582.00 0.0532
584.00 0.0523
586.00 0.0516
588.00 0.0510
590.00 0.0505
592.00 0.0502
594.00 0.0493
596.00 0.0486
598.00 0.0481
600.00 0.0477
602.00 0.0472
604.00 0.0466
606.00 0.0463
608.00 0.0462
610.00 0.0457
612.00 0.0450
614.00 0.0441
616.00 0.0437
618.00 0.0436
620.00 0.0435
622.00 0.0431
624.00 0.0426
626.00 0.0423
628.00 0.0418
630.00 0.0417
632.00 0.0413
634.00 0.0414
636.00 0.0414
638.00 0.0409
640.00 0.0407
642.00 0.0396
644.00 0.0397
646.00 0.0391
648.00 0.0391
650.00 0.0390
652.00 0.0386
654.00 0.0387
656.00 0.0381
658.00 0.0382
660.00 0.0378
662.00 0.0378
664.00 0.0377
666.00 0.0374
668.00 0.0378
670.00 0.0377
672.00 0.0379
674.00 0.0374
676.00 0.0369
678.00 0.0372
680.00 0.0373
682.00 0.0371
684.00 0.0366
686.00 0.0360
688.00 0.0365
690.00 0.0369
692.00 0.0368
694.00 0.0361
696.00 0.0359
698.00 0.0365
700.00 0.0366
702.00 0.0368
704.00 0.0369
706.00 0.0378
708.00 0.0376
710.00 0.0375
712.00 0.0370
714.00 0.0376
716.00 0.0384
718.00 0.0386
720.00 0.0393
722.00 0.0396
724.00 0.0403
726.00 0.0403
728.00 0.0402
730.00 0.0412
732.00 0.0419
734.00 0.0429
736.00 0.0437
738.00 0.0447
740.00 0.0458
742.00 0.0460
744.00 0.0451
746.00 0.0439
748.00 0.0431
750.00 0.0433
752.00 0.0439
754.00 0.0439
756.00 0.0446
758.00 0.0449
760.00 0.0458
762.00 0.0455
764.00 0.0446
766.00 0.0430
768.00 0.0420
770.00 0.0428
772.00 0.0427
774.00 0.0423
776.00 0.0413
778.00 0.0414
780.00 0.0427
782.00 0.0421
784.00 0.0433
786.00 0.0418
788.00 0.0426
790.00 0.0420
792.00 0.0433
794.00 0.0429
796.00 0.0422
798.00 0.0417
800.00 0.0417
