"RawData - D:\NORLIYANA MUJAINI-UV\Dr Yap Win Feng\Illya\14092023\SAMPLE E1_TRANS_103841.spc"
"Wavelength nm.","T%"
220.00,0.0722
222.00,0.0745
224.00,0.0776
226.00,0.0642
228.00,0.0649
230.00,0.0639
232.00,0.0651
234.00,0.0719
236.00,0.0732
238.00,0.0688
240.00,0.0561
242.00,0.0476
244.00,0.0512
246.00,0.0514
248.00,0.0499
250.00,0.0474
252.00,0.0415
254.00,0.0421
256.00,0.0375
258.00,0.0382
260.00,0.0352
262.00,0.0303
264.00,0.0303
266.00,0.0280
268.00,0.0295
270.00,0.0284
272.00,0.0275
274.00,0.0266
276.00,0.0248
278.00,0.0245
280.00,0.0251
282.00,0.0243
284.00,0.0260
286.00,0.0258
288.00,0.0278
290.00,0.0295
292.00,0.0322
294.00,0.0337
296.00,0.0360
298.00,0.0383
300.00,0.0434
302.00,0.0476
304.00,0.0537
306.00,0.0533
308.00,0.0557
310.00,0.0595
312.00,0.0663
314.00,0.0719
316.00,0.0754
318.00,0.0833
320.00,0.0913
322.00,0.1072
324.00,0.1197
326.00,0.1360
328.00,0.1501
330.00,0.1732
332.00,0.2040
334.00,0.2371
336.00,0.2811
338.00,0.3286
340.00,0.4006
342.00,0.4930
344.00,0.6266
346.00,0.7738
348.00,0.9487
350.00,1.1484
352.00,1.4002
354.00,1.6951
356.00,2.0474
358.00,2.4530
360.00,2.9631
362.00,3.5711
364.00,4.2484
366.00,4.9818
368.00,5.8158
370.00,6.7447
372.00,7.8294
374.00,9.0269
376.00,10.3738
378.00,11.7687
380.00,13.2280
382.00,14.8144
384.00,16.4622
386.00,18.2300
388.00,19.9323
390.00,21.6986
392.00,23.4032
394.00,25.1754
396.00,26.9064
398.00,28.6047
400.00,30.2807
402.00,31.8968
404.00,33.4710
406.00,34.9852
408.00,36.3264
410.00,37.7574
412.00,39.1364
414.00,40.5648
416.00,41.7879
418.00,43.0083
420.00,44.2658
422.00,45.5042
424.00,46.6821
426.00,47.7755
428.00,48.9224
430.00,49.9950
432.00,51.0589
434.00,51.9995
436.00,52.9760
438.00,53.9622
440.00,54.9332
442.00,55.8379
444.00,56.7209
446.00,57.6355
448.00,58.5380
450.00,59.3899
452.00,60.2275
454.00,61.0349
456.00,61.8510
458.00,62.6479
460.00,63.4483
462.00,64.2514
464.00,65.0204
466.00,65.7859
468.00,66.4959
470.00,67.1617
472.00,67.7823
474.00,68.4671
476.00,69.1513
478.00,69.8186
480.00,70.4897
482.00,71.1381
484.00,71.7656
486.00,72.3313
488.00,72.9229
490.00,73.5426
492.00,74.1221
494.00,74.7399
496.00,75.3863
498.00,75.9843
500.00,76.4834
502.00,76.8516
504.00,77.2694
506.00,77.7475
508.00,78.2280
510.00,78.7335
512.00,79.1554
514.00,79.5282
516.00,79.8433
518.00,80.2405
520.00,80.7764
522.00,81.1667
524.00,81.5588
526.00,81.8607
528.00,82.2797
530.00,82.6277
532.00,83.0285
534.00,83.3907
536.00,83.6510
538.00,83.8750
540.00,84.1129
542.00,84.3860
544.00,84.6732
546.00,84.9397
548.00,85.1954
550.00,85.4939
552.00,85.7156
554.00,85.9883
556.00,86.2258
558.00,86.4541
560.00,86.6632
562.00,86.8336
564.00,87.0480
566.00,87.2008
568.00,87.3206
570.00,87.5148
572.00,87.7650
574.00,87.9301
576.00,88.0817
578.00,88.1629
580.00,88.3915
582.00,88.5018
584.00,88.6995
586.00,88.8104
588.00,88.9457
590.00,89.0105
592.00,89.1301
594.00,89.2734
596.00,89.4403
598.00,89.4788
600.00,89.5899
602.00,89.6742
604.00,89.8333
606.00,89.8821
608.00,89.9061
610.00,90.0027
612.00,90.1667
614.00,90.3733
616.00,90.4574
618.00,90.4650
620.00,90.4928
622.00,90.5628
624.00,90.6756
626.00,90.7586
628.00,90.8761
630.00,90.8958
632.00,90.9244
634.00,90.9460
636.00,90.9478
638.00,91.0793
640.00,91.1039
642.00,91.3386
644.00,91.2989
646.00,91.4103
648.00,91.4215
650.00,91.4903
652.00,91.5223
654.00,91.5184
656.00,91.6182
658.00,91.6113
660.00,91.6308
662.00,91.7034
664.00,91.6893
666.00,91.7594
668.00,91.6382
670.00,91.6817
672.00,91.6588
674.00,91.7566
676.00,91.8002
678.00,91.7600
680.00,91.7261
682.00,91.8511
684.00,92.0547
686.00,92.0948
688.00,92.0338
690.00,91.8943
692.00,91.9120
694.00,91.9951
696.00,92.0552
698.00,92.1063
700.00,92.1418
702.00,92.0808
704.00,92.0121
706.00,91.8663
708.00,91.8747
710.00,91.9123
712.00,91.9572
714.00,91.8677
716.00,91.6998
718.00,91.5159
720.00,91.3708
722.00,91.3064
724.00,91.3104
726.00,91.3382
728.00,91.3183
730.00,91.0414
732.00,90.7976
734.00,90.6065
736.00,90.4267
738.00,90.2710
740.00,89.9643
742.00,89.9010
744.00,90.1024
746.00,90.3182
748.00,90.5656
750.00,90.4302
752.00,90.3015
754.00,90.3044
756.00,90.3062
758.00,90.3022
760.00,90.1355
762.00,90.2495
764.00,90.4983
766.00,90.7851
768.00,90.8001
770.00,90.7007
772.00,90.6574
774.00,90.9675
776.00,90.9727
778.00,91.0963
780.00,90.7857
782.00,90.9860
784.00,90.6386
786.00,90.8724
788.00,90.6667
790.00,90.6440
792.00,90.5633
794.00,90.5149
796.00,90.7832
798.00,90.7934
800.00,91.0599
